Fwd Packet Length Mean,Fwd Packet Length Std,Bwd IAT Total,Packet Length Mean,Label,NormFwd_Packet_Length_Mean,NormPacket_Length_Mean,NormFwd_Packet_Length_Std,NormBwd_IAT_Total,sequencial
99.2130177515,241.936013457,103935,1295.53606661,video,0.661420118343,8.63690711075,3.36101023823,0.000086627737364,1
131.474576271,286.068840976,181408,1282.73571895,video,0.876497175141,8.55157145963,3.97410988807,0.000151199928607,2
96.7921348315,240.135868923,82789,1269.02336383,video,0.645280898876,8.46015575886,3.33600236892,0.000069002970594,3
120.399610136,138.417277083,197696,1094.85209632,video,0.802664067576,7.29901397547,1.92291291724,0.000164775649838,4
205.708609272,365.276152866,100394,1208.67806425,video,1.37139072848,8.05785376166,5.07446936909,0.000083676384904,5
56.3531375167,146.31443304,278524,1075.30432208,video,0.375687583445,7.16869548056,2.0326213548,0.000232144166273,6
507.177570093,568.979070372,341114,672.148472337,video,3.38118380062,4.48098981558,7.90433988531,0.000284311675598,7
157.806451613,319.089900028,175859,1289.3416311,video,1.05204301075,8.59561087403,4.43284323647,0.000146574948431,8
162.64978903,329.733507186,61254,1272.66763931,video,1.08433192686,8.48445092871,4.58070577301,0.000051053980127,9
144.092664093,304.319107281,165023,1298.19208607,video,0.960617760618,8.65461390716,4.22764523829,0.000137543359822,10
196.670886076,358.216117139,153158,1276.30825211,video,1.31113924051,8.50872168075,4.97639032735,0.000127654120356,11
127.471052632,285.341727871,161657,1290.92039368,video,0.849807017544,8.60613595785,3.96400872721,0.000134737866350,12
168.913300493,330.680255855,323917,1276.97622243,video,1.12608866995,8.51317481621,4.59385814302,0.000269978321103,13
46.8278171789,113.713014893,166763,935.041433303,video,0.312185447859,6.23360955535,1.57971771881,0.000138993614914,14
202.929292929,360.295342198,119857,1243.15153082,video,1.35286195286,8.28767687216,5.00527522385,0.000099898404938,15
46.2868089765,111.976518089,141281,950.601138459,video,0.30857872651,6.33734092306,1.555594053,0.000117754879132,16
42.6696512724,92.6293871227,212290,994.909572176,video,0.284464341816,6.63273048117,1.28682089959,0.000176939456055,17
189.863270777,353.984203291,124977,1268.56086287,video,1.26575513852,8.45707241911,4.91759996552,0.000104165822221,18
105.325,257.11560285,111267,1290.0003213,video,0.702166666667,8.60000214202,3.57188729879,0.000092738812270,19
78.9178082192,199.126788299,309515,1218.27661721,video,0.526118721461,8.12184411474,2.76629826464,0.000257974543034,20
94.3783783784,237.134628537,45618,1254.59055638,video,0.629189189189,8.36393704254,3.29430870157,0.000038021687815,21
113.930434783,270.173346319,91259,1292.88503194,video,0.759536231884,8.61923354624,3.7532873676,0.000076062545669,22
75.1788321168,202.319459205,27793,1220.84936451,video,0.501192214112,8.13899576338,2.81065131258,0.000023164907919,23
46.8285580085,115.663477958,75062,839.502447272,video,0.312190386723,5.59668298182,1.60681383499,0.000062562671112,24
234.247081712,389.129574745,123306,1225.99574059,video,1.56164721141,8.17330493725,5.40584457034,0.000102773077245,25
117.879275654,137.054650977,146214,1110.2781362,video,0.785861837693,7.40185424134,1.90398311748,0.000121866435666,26
202.703597122,366.441100081,119551,1243.91599769,video,1.35135731415,8.29277331796,5.09065298499,0.000099643360077,27
