Fwd Packet Length Mean,Fwd Packet Length Std,Bwd IAT Total,Packet Length Mean,Label,NormFwd_Packet_Length_Mean,NormPacket_Length_Mean,NormFwd_Packet_Length_Std,NormBwd_IAT_Total,Sequencial,LowPacketLengthMeanLowerDegree,LowPacketLengthMeanUpperDegree,ReasonablePacketLengthMeanLowerDegree,ReasonablePacketLengthMeanUpperDegree,HighPacketLengthMeanLowerDegree,HighPacketLengthMeanUpperDegree,LowPacketLengthStdLowerDegree,LowPacketLengthStdUpperDegree,ReasonablePacketLengthStdLowerDegree,ReasonablePacketLengthStdUpperDegree,HighPacketLengthStdLowerDegree,HighPacketLengthStdUpperDegree,LowBackwardIatTotalLowerDegree,LowBackwardIatTotalUpperDegree,ReasonableBackwardIatTotalLowerDegree,ReasonableBackwardIatTotalUpperDegree,HighBackwardIatTotalLowerDegree,HighBackwardIatTotalUpperDegree,xPonctual,xInf,xSup,LowVideoLowerDegree,LowVideoUpperDegree,AverageVideoLowerDegree,AverageVideoUpperDegree,HighVideoLowerDegree,HighVideoUpperDegree,Sequencial
31.5717660957,114.000110246,73755,1195.95893325,video,0.210478440638,7.973059555,1.58370608915,0.000061473312833,1,0.0,0.0,0.0,0.203304973809524,0.34206305823529376,1.0,0.38666553671842097,0.8859970296829268,0.0,0.033482435660000046,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,5.0135242429053335,4.24689599440494,5.780152491405726,0.0,0.0,0.8639813712062295,1.0,0.0,0.002940052805507282,1,
35.9607703281,102.833902244,93698,1242.17505507,video,0.239738468854,8.2811670338,1.42858350578,0.000078095403238,2,0.0,0.0,0.0,0.056587126761905304,0.6682945063764697,1.0,0.46014465515684205,0.9616665825463415,0.0,0.0,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,4.999558403068768,4.36894472502658,5.630172081110956,0.0,9.620848174987221E-5,0.8605471482955988,1.0,0.0,0.0,2,
70.5791366906,188.474021523,97510,1215.98549349,video,0.470527577937,8.1065699566,2.61830848136,0.000081272628762,3,0.0,0.0,0.0,0.13972859209523844,0.4834270128705876,1.0,0.0,0.38131293592195115,0.046294623140869635,0.44732339254400005,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,6.216954128325228,3.344403985843657,9.089504270806799,0.0,0.0,0.5598750094025327,0.820761467918693,0.04540900360295471,0.2645552452880931,3,
144.806185567,301.331320624,422254,1280.08212305,video,0.965374570447,8.53388082033,4.1861384721,0.000351940237773,4,0.0,0.0,0.0,0.0,0.9,1.0,0.0,0.0,0.6597933151695652,1.0,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,8.464777397894077,8.146641587501557,8.782913208286596,0.0,0.0,0.008637695339327272,0.25880565052648086,0.5158836414196903,0.7532124778030602,4,
96.7106382979,122.892756929,178626,1114.55513878,video,0.644737588653,7.43036759187,1.70724402846,0.000148881187419,5,0.0,0.0,0.0,0.4617297181571431,0.0,0.7803675918699993,0.3281475654663158,0.8257346202634147,0.0,0.08289761138399995,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,5.297979797979798,0.5959595959595959,10.0,0.0,0.0,0.7852365618033195,1.0,0.0,0.06477821695212992,5,
135.276397516,289.784671932,387784,1285.8369134,video,0.901842650107,8.57224608933,4.02573075141,0.000323210184308,6,0.0,0.0,0.0,0.0,0.9,1.0,0.0,0.0,0.5970250766386959,1.0,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,8.444329161062553,8.10574511383851,8.782913208286596,0.0,0.0,0.013652249330709009,0.2639177097343617,0.5116037778968134,0.7487672089266421,6,
206.594594595,365.703783569,341043,1263.40688368,video,1.3772972973,8.42271255787,5.08041007692,0.000284252498522,7,0.0,0.0,0.0,0.0,0.8181662377447056,1.0,0.0,0.0,0.9,1.0,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,8.491793823786873,8.20067443928715,8.782913208286596,0.0,0.0,0.002012413785235538,0.2520515440532818,0.5215382421879501,0.7590856138667116,7,
119.695067265,269.444182497,164492,1281.38691065,video,0.7979671151,8.54257940433,3.74315771788,0.000137100781974,8,0.0,0.0,0.0,0.0,0.9,1.0,0.0,0.0,0.4864530200400001,0.897263087152,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,8.380930771368558,8.009340433059847,8.752521109677266,0.0,0.0,0.029199538356484495,0.2797673071578606,0.49833434749574457,0.7349849502975127,8,
57.8717948718,155.146272437,122895,1227.55207727,video,0.385811965812,8.18368051513,2.15531455046,0.000102430516990,9,0.0,0.0,0.0,0.10300927850952403,0.565073486608235,1.0,0.11590363399263155,0.6071636339219513,0.0,0.262125820184,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,5.233037664252584,3.619674349336678,6.846400979168489,0.0,0.0,0.8011624256601293,1.0,0.0,0.05066036179404,9,
77.6779935275,199.291648107,201481,1251.88781827,video,0.517853290183,8.34591878847,2.76858852104,0.000167930371404,10,0.0,0.0,0.0,0.025752957871428884,0.7368551877917643,1.0,0.0,0.30800559949268297,0.10509985605913039,0.507435408416,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,6.562999866971676,4.267126474340413,8.85887325960294,0.0,0.0,0.47501365660095135,0.7342500332570809,0.11783718145918803,0.3397825797764514,10,
66.0955223881,172.444111033,160030,1249.23010429,video,0.440636815921,8.32820069527,2.39561863661,0.000133381794491,11,0.0,0.0,0.0,0.03419014510952373,0.7180948538152946,1.0,0.0020753826584209755,0.4899421284829268,0.0,0.35824745464400004,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,5.506334668859241,1.5653205203885774,9.447348817329903,0.0,0.0,0.7341413618601317,0.9984163327851898,0.0,0.11007275409983495,11,
7.95664928292,69.7530005591,75678,1534.33094966,video,0.0530443285528,10,0.969018814838,0.000063076094754,12,0.0,0.0,0.0,0.0,0.9,1.0,0.6778331929714738,1.0,0.0,0.0,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,4.999252099693076,4.465984927904859,5.532519271481293,0.0,1.6294124333850375E-4,0.8604718277933794,1.0,0.0,0.0,12,
5.1008991009,56.0072768669,215559,1175.208548,video,0.034005994006,7.83472365333,0.778061224848,0.000179664101972,13,0.0,0.0,0.0,0.2691792127,0.19558975058470582,1.0,0.7682867882298948,1.0,0.0,0.0,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,5.00005616244324,3.941343781620242,6.058768543266237,0.0,0.0,0.8606695481417803,1.0,0.0,1.220922679131011E-5,13,
3.26327664006,44.9241419675,72414,1097.69229486,video,0.0217551776004,7.3179486324,0.624092705088,0.000060355616236,14,0.0,0.0,0.03692311542000004,0.5152625559999999,0.0,0.6679486323999999,0.8412192449583157,1.0,0.0,0.0,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,5.000094032258772,2.8864244136001895,7.113763650917355,0.0,0.0,0.8606788603915014,1.0,0.0,2.0441795385295336E-5,14,
2.53191729748,39.3820720627,207731,1250.09842995,video,0.0168794486499,8.333989533,0.547101465029,0.000173139621017,15,0.0,0.0,0.0,0.03143355571428566,0.7242242114117651,1.0,0.8776887797231053,1.0,0.0,0.0,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,4.999209079797952,4.474428125540702,5.523990034055202,0.0,1.7231376950940834E-4,0.8604612491306439,1.0,0.0,0.0,15,
4.48148522865,52.5272482985,320631,1120.83199425,video,0.029876568191,7.472213295,0.729716162529,0.000267239506026,16,0.0,0.0,0.0,0.4418031928571427,0.0,0.8222132950000001,0.7911870809073158,1.0,0.0,0.0,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,4.976076555023924,0.5263157894736842,9.425837320574162,0.0,0.005212079515485043,0.8547729233665385,1.0,0.0,0.0,16,
6.54073556797,63.2695498475,244600,1252.04010208,video,0.0436049037865,8.34693401387,0.878949775882,0.000203869192854,17,0.0,0.0,0.0,0.02526951720476233,0.7379301323329406,1.0,0.7204974745822106,1.0,0.0,0.0,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,4.999234646261207,4.473864248184764,5.524605044337649,0.0,1.6674373394188954E-4,0.8604675359658704,1.0,0.0,0.0,17,
7.41359950094,67.2481644474,165404,1660.05083867,video,0.0494239966729,10,0.934221267766,0.000137860915678,18,0.0,0.0,0.0,0.0,0.9,1.0,0.6943162415845263,1.0,0.0,0.0,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,4.99922986339572,4.469359018149101,5.529100708642339,0.0,1.677857525664591E-4,0.8604663598514065,1.0,0.0,0.0,18,
7.05065581185,65.3617855234,129280,1391.89074396,video,0.047004372079,9.2792716264,0.908015417773,0.000107752286395,19,0.0,0.0,0.0,0.0,0.9,1.0,0.7067295389496316,1.0,0.0,0.0,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,4.999233643620636,4.471586009177786,5.5268812780634855,0.0,1.6696217415334243E-4,0.8604672894149105,1.0,0.0,0.0,19,
174.783625731,336.856531102,56538,1283.57496604,video,1.16522417154,8.55716644027,4.67965985581,0.000047123288739,20,0.0,0.0,0.0,0.0,0.9,1.0,0.0,0.0,0.8529103783604348,1.0,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,8.492331824995222,8.20175044170385,8.782913208286596,0.0,0.0,0.0018804788840053978,0.2519170437511944,0.5216508470920233,0.7592025706511354,20,
92.8051948052,231.884450555,19878,1281.77165354,video,0.618701298701,8.54514435693,3.22137246649,0.000016567914209,21,0.0,0.0,0.0,0.0,0.9,1.0,0.0,0.08713538219999992,0.28227618253956527,0.6885489865960001,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,7.680988828955561,6.645371219060386,8.716606438850736,0.0,0.0,0.200847426141688,0.4547527927611097,0.35183487117674533,0.5828236584686003,21,
220.247018739,379.347632201,194062,1250.09625301,video,1.46831345826,8.33397502007,5.26995240377,0.000161746783743,22,0.0,0.0,0.0,0.0314404666333337,0.7242088447799995,1.0,0.0,0.0,0.8726273202639132,1.0,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,8.334745079889359,7.8724866747930795,8.797003484985638,0.0,0.0,0.04052572972740516,0.29131373002766026,0.4886675748605634,0.7249445825846433,22,
267.796084829,414.863104071,87081,1204.9400928,video,1.78530723219,8.032933952,5.76333849733,0.000072580266488,23,0.0,0.0,0.0,0.1747933561904761,0.4054594785882356,1.0,0.0,0.0,0.6795631966969565,1.0,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,7.574901547403802,6.34118450271073,8.808618592096874,0.0,0.0,0.22686338074566165,0.4812746131490495,0.3296305564333538,0.5597612059573482,23,
60.5909580194,160.763560935,122462,1115.40795393,video,0.403939720129,7.4360530262,2.23335073814,0.000102069620177,24,0.0,0.0,0.0,0.45902236847619066,0.0,0.7860530261999994,0.07893912403894736,0.5690972009073171,0.0,0.29334029525599997,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,5.297979797979798,0.5959595959595959,10.0,0.0,0.0,0.7852365618033195,1.0,0.0,0.06477821695212992,24,
59.4130925508,158.875433941,115182,1131.79231568,video,0.396087283672,7.54528210453,2.20712060371,0.000096001886228,25,0.0,0.0,0.0,0.407008521652381,0.0,0.8952821045299997,0.09136392455842103,0.5818923884341464,0.0,0.282848241484,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,5.297979797979798,0.5959595959595959,10.0,0.0,0.0,0.7852365618033195,1.0,0.0,0.06477821695212992,25,
134.55785124,295.093175407,143498,1264.24183574,video,0.8970523416,8.42827890493,4.0994772527,0.000119602704154,26,0.0,0.0,0.0,0.0,0.8240600169847058,1.0,0.0,0.0,0.6258824032304348,1.0,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,8.4543803549868,8.125847501687005,8.782913208286596,0.0,0.0,0.011187378886070963,0.2614049112533001,0.5137075161600277,0.7509522510840869,26,
107.239361702,253.799860559,48332,1279.1540258,video,0.714929078013,8.52769350533,3.5258245253,0.000040283752367,27,0.0,0.0,0.0,0.0,0.9,1.0,0.0,0.0,0.4014095968565218,0.81032981012,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,8.31825045491943,7.9129701297252595,8.7235307801136,0.0,0.0,0.044570733126025545,0.2954373862701427,0.4852152114947642,0.721358794547702,27,
201.409090909,370.677451483,124516,1248.46612861,video,1.34272727273,8.32310752407,5.14950499397,0.000103781587970,28,0.0,0.0,0.0,0.036615464728571544,0.7127020843094118,1.0,0.0,0.0,0.9,1.0,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,8.307366036313457,7.817728587641278,8.797003484985638,0.0,0.0,0.04723993659887971,0.2981584909216357,0.48293707736793284,0.718992616589882,28,
17.6993118052,154.832637927,22094,2830.09381188,video,0.117995412035,10,2.1509574943,0.000018414905752,29,0.0,0.0,0.0,0.0,0.9,1.0,0.11796750269999995,0.6092890271707317,0.0,0.26038299772,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,5.229907798593936,3.6311805392386782,6.828635057949193,0.0,0.0,0.8019299676472638,1.0,0.0,0.04997995621607299,29,
209.468421053,368.704022208,135270,1251.86706991,video,1.39645614035,8.34578046607,5.12208982785,0.000112744831224,30,0.0,0.0,0.0,0.02581882568095259,0.7367087287799998,1.0,0.0,0.0,0.9,1.0,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,8.36458144229312,7.932159399600605,8.797003484985638,0.0,0.0,0.033208910609316473,0.28385463942671985,0.4949123948985601,0.7314307483245915,30,
145.995485327,301.576647895,114170,1268.45688956,video,0.973303235513,8.45637926373,4.18954659418,0.000095158404530,31,0.0,0.0,0.0,0.0,0.8538133380670585,1.0,0.0,0.0,0.6611269281573915,1.0,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,8.465152289248035,8.147391370209476,8.782913208286596,0.0,0.0,0.00854576012990965,0.2587119276879912,0.5159621070519143,0.7532939759234859,31,
192.657142857,356.466290548,131953,1276.15265947,video,1.28438095238,8.50768439647,4.9520814822,0.000109980178269,32,0.0,0.0,0.0,0.0,0.9,1.0,0.0,0.0,0.9,1.0,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,8.492331824995222,8.20175044170385,8.782913208286596,0.0,0.0,0.0018804788840053978,0.2519170437511944,0.5216508470920233,0.7592025706511354,32,
95.6949685535,238.601657379,98030,1212.66079233,video,0.637966457023,8.0844052822,3.31468887931,0.000081706038330,33,0.0,0.0,0.0,0.15028319895238082,0.4599585340941181,1.0,0.0,0.041615180824390315,0.3187913005995652,0.7258755517239999,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,7.481191922326888,6.243915108000391,8.718468736653383,0.0,0.0,0.2498439427536243,0.5047020194182781,0.31001691397539505,0.5393895483319322,33,
211.04296875,366.84853744,122300,1270.96189024,video,1.406953125,8.47307926827,5.09631316396,0.000101934596427,34,0.0,0.0,0.0,0.0,0.8714956958152944,1.0,0.0,0.0,0.9,1.0,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,8.492331824995222,8.20175044170385,8.782913208286596,0.0,0.0,0.0018804788840053978,0.2519170437511944,0.5216508470920233,0.7592025706511354,34,
78.0308943089,199.904641274,131310,1257.80011398,video,0.520205962059,8.3853340932,2.77710431114,0.000109444250669,35,0.0,0.0,0.0,0.006983765142857731,0.7785890398588226,1.0,0.0,0.30385155554146337,0.1084321217504348,0.510841724456,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,6.5812326518491435,4.311464661001003,8.851000642697285,0.0,0.0,0.47054240145388854,0.7296918370377141,0.12165334573586724,0.3437462286628573,35,
120.615803815,272.351734842,186782,1283.13653715,video,0.804105358767,8.554243581,3.78354985736,0.000155679049794,36,0.0,0.0,0.0,0.0,0.9,1.0,0.0,0.0,0.5022586398365219,0.9134199429440001,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,8.391530537657914,8.025059194536865,8.758001880778965,0.0,0.0,0.0266001406288494,0.27711736558552147,0.5005529032307261,0.7372892473169379,36,
132.361489555,283.787238692,316562,1272.67420394,video,0.882409930367,8.48449469293,3.94241353776,0.000263848076158,37,0.0,0.0,0.0,0.0,0.8835826160435287,1.0,0.0,0.0,0.5644226886886956,0.9769654151039999,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,8.42895785247194,8.08058077238844,8.77733493255544,0.0,0.0,0.01742178004775298,0.26776053688201484,0.508386527261569,0.7454256201025958,37,
130.495081967,287.996489229,104332,1241.53916593,video,0.869967213113,8.27692777287,4.00088905758,0.000086958628900,38,0.0,0.0,0.0,0.05860582244285744,0.6638058771564701,1.0,0.0,0.0,0.5873044138356524,1.0,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,8.15734275963863,7.51768203429162,8.797003484985638,0.0,0.0,0.0840303859196822,0.3356643100903427,0.4515368566685502,0.6863788607910064,38,
74.5,195.442905494,114482,1209.39980463,video,0.496666666667,8.0626653642,2.71512122966,0.000095418450271,39,0.0,0.0,0.0,0.1606355408571426,0.4369397973882359,1.0,0.0,0.33408720504390255,0.0841778724756521,0.4860484918639999,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,6.446873249120324,3.977022972510934,8.916723525729713,0.0,0.0,0.5034915737852067,0.7632816877199191,0.09353161028099793,0.31453766285224427,39,
80.6174863388,215.120039431,67608,1266.12075634,video,0.537449908925,8.44080504227,2.98847883226,0.000056349911654,40,0.0,0.0,0.0,0.0,0.8373229859329412,1.0,0.0,0.2007420330439023,0.1911438908843479,0.595391532904,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,7.045046786424864,5.346951563720433,8.743142009129295,0.0,0.0,0.3568005155906328,0.613738303393784,0.21873072274008779,0.44457538835323135,40,
132.411764706,291.066269872,156058,1293.28480663,video,0.88274509804,8.62189871087,4.04353489613,0.000130071212177,41,0.0,0.0,0.0,0.0,0.9,1.0,0.0,0.0,0.6039919158769566,1.0,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,8.446855475002106,8.110797741717615,8.782913208286596,0.0,0.0,0.013032717301935781,0.2632861312494734,0.5121325412795106,0.7493164076091536,41,
150.413273002,306.291824747,319262,1266.32314378,video,1.00275515335,8.44215429187,4.25505051585,0.000266098471991,42,0.0,0.0,0.0,0.0,0.8387516031564712,1.0,0.0,0.0,0.6867588975065217,1.0,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,8.47196636682953,8.161019525372463,8.782913208286596,0.0,0.0,0.006874732930087909,0.2570084082926174,0.5173883093364133,0.7547752971368545,42,
178.267241379,340.627871708,213367,1256.71937269,video,1.18844827586,8.37812915127,4.73205186727,0.000177837113948,43,0.0,0.0,0.0,0.010414689871428517,0.7709602778152946,1.0,0.0,0.0,0.8734116002360871,1.0,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,8.447770733807353,8.09853798262907,8.797003484985638,0.0,0.0,0.012808266913728177,0.2630573165481618,0.5123241070759575,0.749515376914642,43,
141.696732026,296.096226475,191078,1267.5672462,video,0.944644880173,8.450448308,4.11341178382,0.000159259679608,44,0.0,0.0,0.0,0.0,0.8475335025882356,1.0,0.0,0.0,0.6313350458426088,1.0,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,8.456147012441448,8.1293808165963,8.782913208286596,0.0,0.0,0.010754138638336906,0.2609632468896379,0.5140772816737914,0.7513363070524889,44,
100.234375,247.187181486,105148,1256.99665961,video,0.668229166667,8.37997773073,3.43396022718,0.000087638748529,45,0.0,0.0,0.0,0.009534413938095686,0.7729175972435287,1.0,0.0,0.0,0.365462697592174,0.773584090872,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,8.23833019296098,7.749568434408723,8.727091951513236,0.0,0.0,0.06416970744826103,0.315417451759755,0.46848771480578644,0.7039848245567348,45,
94.7538461538,238.041432674,121659,1229.80109901,video,0.631692307692,8.1986739934,3.30690615634,0.000101400335787,46,0.0,0.0,0.0,0.09586952695238114,0.5809489341882351,1.0,0.0,0.04541163105365841,0.31574588726347835,0.7227624625360001,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,7.693961449433806,6.669884630440647,8.718038268426966,0.0,0.0,0.19766612956664148,0.4515096376415484,0.3545500708117269,0.5856437933551754,46,
131.09375,289.243853602,116901,1228.76990538,video,0.873958333333,8.1917993692,4.01821762462,0.000097434638241,47,0.0,0.0,0.0,0.09914315752380969,0.5736699203294116,1.0,0.0,0.0,0.5940851574600001,1.0,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,7.979651974842746,7.16229525392385,8.79700869576164,0.0,0.0,0.12760578273611142,0.3800870062893136,0.4143457621763886,0.6477504293136405,47,
90.7555012225,225.646529563,143345,1263.1387844,video,0.605036674817,8.42092522933,3.13471436206,0.000119475181724,48,0.0,0.0,0.0,0.0,0.8162737722317654,1.0,0.0,0.12940762826341462,0.24836648950173917,0.653885744824,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,7.422778829897954,6.125446729396727,8.720110930399182,0.0,0.0,0.26416867931657806,0.5193052925255115,0.2977909178856183,0.5266910499778161,48,
87.3103448276,226.394346746,78818,1256.73394733,video,0.582068965517,8.37822631553,3.14510314698,0.000065693221760,49,0.0,0.0,0.0,0.010368421176190605,0.7710631576200001,1.0,0.0,0.12433992830243902,0.25243166620956525,0.6580412587919999,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,7.452223292447709,6.185201971820827,8.719244613074592,0.0,0.0,0.2569479664297172,0.5119441768880728,0.30395371237277624,0.533092020097328,49,
172.196629213,325.659202476,157408,1275.09719198,video,1.14797752809,8.50064794653,4.52410494022,0.000131196410093,50,0.0,0.0,0.0,0.0,0.9,1.0,0.0,0.0,0.7920410635643479,1.0,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,8.490032264618174,8.197151320949752,8.782913208286596,0.0,0.0,0.0024444037721099575,0.25249193384545654,0.5211695437572921,0.7587026662213422,50,
116.334877565,264.350797788,343698,1275.42631036,video,0.775565850433,8.50284206907,3.67239967773,0.000286465387758,51,0.0,0.0,0.0,0.0,0.9,1.0,0.0,0.0,0.45876509128565224,0.868959871092,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,8.361507412434687,7.980262627771643,8.74275219709773,0.0,0.0,0.03396275989340104,0.2846231468913283,0.49426899330028323,0.7307624809640624,51,
100.122302158,243.686205883,25518,1287.85469358,video,0.667482014387,8.5856979572,3.38532416562,0.000021268741060,52,0.0,0.0,0.0,0.0,0.9,1.0,0.0,0.00715894359999988,0.3464311952426088,0.754129666248,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,8.237074614473272,7.751222213835023,8.722927015111521,0.0,0.0,0.06447761497930658,0.315731346381682,0.4682249193083592,0.703711872711581,52,
107.301136364,253.216741499,124666,1277.38408345,video,0.715340909093,8.51589388967,3.51772375063,0.000103906609961,53,0.0,0.0,0.0,0.0,0.9,1.0,0.0,0.0,0.39823972850739137,0.807089500252,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,8.31576581178099,7.90895537479751,8.722576248764469,0.0,0.0,0.04518004615725045,0.29605854705475254,0.48469516990764894,0.7208186547349978,53,
165.36,322.748811088,151221,1272.3984289,video,1.1024,8.48265619267,4.48367336034,0.000126039669716,54,0.0,0.0,0.0,0.0,0.8816359687094112,1.0,0.0,0.0,0.7762200105678262,1.0,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,8.488410964335358,8.193908720384123,8.782913208286596,0.0,0.0,0.002841997846914872,0.25289725891616044,0.5208302018376331,0.7583502096381214,54,
