Fwd Packet Length Mean,Fwd Packet Length Std,Bwd IAT Total,Packet Length Mean,Label,NormFwd_Packet_Length_Mean,NormPacket_Length_Mean,NormFwd_Packet_Length_Std,NormBwd_IAT_Total,Sequencial
31.5717660957,114.000110246,73755,1195.95893325,video,0.210478440638,7.973059555,1.58370608915,0.000061473312833,1
35.9607703281,102.833902244,93698,1242.17505507,video,0.239738468854,8.2811670338,1.42858350578,0.000078095403238,2
70.5791366906,188.474021523,97510,1215.98549349,video,0.470527577937,8.1065699566,2.61830848136,0.000081272628762,3
144.806185567,301.331320624,422254,1280.08212305,video,0.965374570447,8.53388082033,4.1861384721,0.000351940237773,4
96.7106382979,122.892756929,178626,1114.55513878,video,0.644737588653,7.43036759187,1.70724402846,0.000148881187419,5
135.276397516,289.784671932,387784,1285.8369134,video,0.901842650107,8.57224608933,4.02573075141,0.000323210184308,6
206.594594595,365.703783569,341043,1263.40688368,video,1.3772972973,8.42271255787,5.08041007692,0.000284252498522,7
119.695067265,269.444182497,164492,1281.38691065,video,0.7979671151,8.54257940433,3.74315771788,0.000137100781974,8
57.8717948718,155.146272437,122895,1227.55207727,video,0.385811965812,8.18368051513,2.15531455046,0.000102430516990,9
77.6779935275,199.291648107,201481,1251.88781827,video,0.517853290183,8.34591878847,2.76858852104,0.000167930371404,10
66.0955223881,172.444111033,160030,1249.23010429,video,0.440636815921,8.32820069527,2.39561863661,0.000133381794491,11
7.95664928292,69.7530005591,75678,1534.33094966,video,0.0530443285528,10,0.969018814838,0.000063076094754,12
5.1008991009,56.0072768669,215559,1175.208548,video,0.034005994006,7.83472365333,0.778061224848,0.000179664101972,13
3.26327664006,44.9241419675,72414,1097.69229486,video,0.0217551776004,7.3179486324,0.624092705088,0.000060355616236,14
2.53191729748,39.3820720627,207731,1250.09842995,video,0.0168794486499,8.333989533,0.547101465029,0.000173139621017,15
4.48148522865,52.5272482985,320631,1120.83199425,video,0.029876568191,7.472213295,0.729716162529,0.000267239506026,16
6.54073556797,63.2695498475,244600,1252.04010208,video,0.0436049037865,8.34693401387,0.878949775882,0.000203869192854,17
7.41359950094,67.2481644474,165404,1660.05083867,video,0.0494239966729,10,0.934221267766,0.000137860915678,18
7.05065581185,65.3617855234,129280,1391.89074396,video,0.047004372079,9.2792716264,0.908015417773,0.000107752286395,19
174.783625731,336.856531102,56538,1283.57496604,video,1.16522417154,8.55716644027,4.67965985581,0.000047123288739,20
92.8051948052,231.884450555,19878,1281.77165354,video,0.618701298701,8.54514435693,3.22137246649,0.000016567914209,21
220.247018739,379.347632201,194062,1250.09625301,video,1.46831345826,8.33397502007,5.26995240377,0.000161746783743,22
267.796084829,414.863104071,87081,1204.9400928,video,1.78530723219,8.032933952,5.76333849733,0.000072580266488,23
60.5909580194,160.763560935,122462,1115.40795393,video,0.403939720129,7.4360530262,2.23335073814,0.000102069620177,24
59.4130925508,158.875433941,115182,1131.79231568,video,0.396087283672,7.54528210453,2.20712060371,0.000096001886228,25
134.55785124,295.093175407,143498,1264.24183574,video,0.8970523416,8.42827890493,4.0994772527,0.000119602704154,26
107.239361702,253.799860559,48332,1279.1540258,video,0.714929078013,8.52769350533,3.5258245253,0.000040283752367,27
201.409090909,370.677451483,124516,1248.46612861,video,1.34272727273,8.32310752407,5.14950499397,0.000103781587970,28
17.6993118052,154.832637927,22094,2830.09381188,video,0.117995412035,10,2.1509574943,0.000018414905752,29
209.468421053,368.704022208,135270,1251.86706991,video,1.39645614035,8.34578046607,5.12208982785,0.000112744831224,30
145.995485327,301.576647895,114170,1268.45688956,video,0.973303235513,8.45637926373,4.18954659418,0.000095158404530,31
192.657142857,356.466290548,131953,1276.15265947,video,1.28438095238,8.50768439647,4.9520814822,0.000109980178269,32
95.6949685535,238.601657379,98030,1212.66079233,video,0.637966457023,8.0844052822,3.31468887931,0.000081706038330,33
211.04296875,366.84853744,122300,1270.96189024,video,1.406953125,8.47307926827,5.09631316396,0.000101934596427,34
78.0308943089,199.904641274,131310,1257.80011398,video,0.520205962059,8.3853340932,2.77710431114,0.000109444250669,35
120.615803815,272.351734842,186782,1283.13653715,video,0.804105358767,8.554243581,3.78354985736,0.000155679049794,36
132.361489555,283.787238692,316562,1272.67420394,video,0.882409930367,8.48449469293,3.94241353776,0.000263848076158,37
130.495081967,287.996489229,104332,1241.53916593,video,0.869967213113,8.27692777287,4.00088905758,0.000086958628900,38
74.5,195.442905494,114482,1209.39980463,video,0.496666666667,8.0626653642,2.71512122966,0.000095418450271,39
80.6174863388,215.120039431,67608,1266.12075634,video,0.537449908925,8.44080504227,2.98847883226,0.000056349911654,40
132.411764706,291.066269872,156058,1293.28480663,video,0.88274509804,8.62189871087,4.04353489613,0.000130071212177,41
150.413273002,306.291824747,319262,1266.32314378,video,1.00275515335,8.44215429187,4.25505051585,0.000266098471991,42
178.267241379,340.627871708,213367,1256.71937269,video,1.18844827586,8.37812915127,4.73205186727,0.000177837113948,43
141.696732026,296.096226475,191078,1267.5672462,video,0.944644880173,8.450448308,4.11341178382,0.000159259679608,44
100.234375,247.187181486,105148,1256.99665961,video,0.668229166667,8.37997773073,3.43396022718,0.000087638748529,45
94.7538461538,238.041432674,121659,1229.80109901,video,0.631692307692,8.1986739934,3.30690615634,0.000101400335787,46
131.09375,289.243853602,116901,1228.76990538,video,0.873958333333,8.1917993692,4.01821762462,0.000097434638241,47
90.7555012225,225.646529563,143345,1263.1387844,video,0.605036674817,8.42092522933,3.13471436206,0.000119475181724,48
