fwdPacketLengthMean, fwdPacketLengthStd, bwdIATTotal, packetLengthMean, floxLabel, normFwdPacketLengthMean, normPacketLengthMean, normFwdPacketLengthStd, normBwdIATTotal,xPonctual, xInf, xSup, lowPacketLengthMeanUpperBound, lowPacketLengthMeanLowerBound,reasonablePacketLengthMeanUpperBound, reasonablePacketLengthMeanLowerBound, highPacketLengthMeanUpperBound,highPacketLengthMeanLowerBound, lowPacketLengthStdUpperBound, lowPacketLengthStdLowerBound,reasonablePacketLengthStdUpperBound, reasonablePacketLengthStdLowerBound, highPacketLengthStdUpperBound,highPacketLengthStdLowerBound, lowBackwardIatTotalUpperBound, lowBackwardIatTotalLowerBound,reasonableBackwardIatTotalUpperBound, reasonableBackwardIatTotalLowerBound, highBackwardIatTotalUpperBound,highBackwardIatTotalLowerBound, lowVideoUpperBound, lowVideoLowerBound, averageVideoUpperBound, averageVideoLowerBound,highVideoUpperBound, highVideoLowerBound, Sequencial
"12.4539781591","12.5718492795","6.03707829E8","19.7544041451","ftp","0.0830265210607","0.131696027634","0.174649956152","0.503178363933","4.999400162260088","4.556784064125004","5.442016260395172","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","0.9983271768773685","0.0","0.0","0.0","0.0","1.0","0.9983271768773685","1.0","0.9561202629125922","0.0","0.0","3185"
"13.3774319066","13.4693919287","5.21328226E8","19.2136422136","ftp","0.0891828793773","0.128090948091","0.187118748996","0.434516617525","4.999400162260088","4.556784064125004","5.442016260395172","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.9561202629125922","0.0","0.0","3186"
"12.8649921507","12.9939747361","6.03351891E8","19.944734098","ftp","0.085766614338","0.132964893987","0.180514184306","0.50288169675","4.999400162260088","4.556784064125004","5.442016260395172","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","0.9984833175","0.0","0.0","0.0","0.0","1.0","0.9984833175","1.0","0.9561202629125922","0.0","0.0","3187"
"12.8652931854","12.9762634288","6.03861839E8","20.1177707676","ftp","0.085768621236","0.134118471784","0.180268136252","0.503306728178","4.999400162260088","4.556784064125004","5.442016260395172","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","0.9982596167484211","0.0","0.0","0.0","0.0","1.0","0.9982596167484211","1.0","0.9561202629125922","0.0","0.0","3188"
"12.8650793651","12.9757957227","6.05393042E8","20.6228991597","ftp","0.0857671957673","0.137485994398","0.180261638811","0.504582955159","4.999400162260088","4.556784064125004","5.442016260395172","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","0.9975879183373685","0.0","0.0","0.0","0.0","1.0","0.9975879183373685","1.0","0.9561202629125922","0.0","0.0","3189"
"12.8380165289","12.9745117952","6.03666031E8","20.7064622125","ftp","0.0855867768593","0.138043081417","0.180243802304","0.503143526138","4.999400162260088","4.556784064125004","5.442016260395172","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","0.9983455125589474","0.0","0.0","0.0","0.0","1.0","0.9983455125589474","1.0","0.9561202629125922","0.0","0.0","3190"
"12.8271276596","12.9717398779","3.64844965E8","22.0123022847","ftp","0.0855141843973","0.146748681898","0.180205294426","0.304090958837","4.999400162260088","4.556784064125004","5.442016260395172","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.9561202629125922","0.0","0.0","3191"
"14.3758064516","14.4805276803","6.05373724E8","21.1732620321","ftp","0.0958387096773","0.141155080214","0.201165593717","0.504566853994","4.999400162260088","4.556784064125004","5.442016260395172","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","0.9975963926347369","0.0","0.0","0.0","0.0","1.0","0.9975963926347369","1.0","0.9561202629125922","0.0","0.0","3192"
"12.2565379826","12.3544469956","6.03768319E8","19.258891646","ftp","0.0817102532173","0.128392610973","0.171629772048","0.503228781134","4.999400162260088","4.556784064125004","5.442016260395172","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","0.998300641508421","0.0","0.0","0.0","0.0","1.0","0.998300641508421","1.0","0.9561202629125922","0.0","0.0","3193"
"13.3469387755","13.5689396654","3.04728748E8","21.6647398844","ftp","0.0889795918367","0.144431599229","0.188501680613","0.253985298014","4.999400162260088","4.556784064125004","5.442016260395172","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.9561202629125922","0.0","0.0","3194"
"14.4223300971","14.4807910457","6.03505015E8","19.5937834941","ftp","0.096148867314","0.130625223294","0.201169252427","0.503009322532","4.999400162260088","4.556784064125004","5.442016260395172","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","0.9984161460357894","0.0","0.0","0.0","0.0","1.0","0.9984161460357894","1.0","0.9561202629125922","0.0","0.0","3195"
"12.8759936407","12.9832282492","6.02885766E8","20.1508438819","ftp","0.0858399576047","0.134338959213","0.180364892549","0.502493190914","4.999400162260088","4.556784064125004","5.442016260395172","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","0.9986877942557895","0.0","0.0","0.0","0.0","1.0","0.9986877942557895","1.0","0.9561202629125922","0.0","0.0","3196"
"13.410801964","13.5388868411","6.04368111E8","20.4956521739","ftp","0.0894053464267","0.136637681159","0.188084182413","0.503728695733","4.999400162260088","4.556784064125004","5.442016260395172","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","0.9980375285615789","0.0","0.0","0.0","0.0","1.0","0.9980375285615789","1.0","0.9561202629125922","0.0","0.0","3199"
